# gnm-marker-csv v3
# {"coordinate_space": "world", "model_sha256": "e3710378cbf8c765f79a9cef5732376fc995f52b5541195e8945dacaaa5c43de", "purpose": "software smoke test, NOT accuracy validation", "synthetic": true, "units": "mm", "version": 3}
label,vertex,placed,x,y,z,weight,bone_x,bone_y,bone_z,tissue_depth_mm,tissue_source,use_for_fit,bone_status,mapping_reviewed,mapping_source,marker_notes
Zygion_St,3874,1,67.69168853759766,279.210693359375,83.31047821044922,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Alare_Dr,10105,1,-16.778772354125977,255.14248657226562,123.32735443115234,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Alare_St,3977,1,16.821990966796875,255.16015625,123.35443115234375,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Eurion_Dr,7765,1,-77.79637908935547,322.0069274902344,15.637118339538574,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Eurion_St,1637,1,77.76321411132812,321.95599365234375,15.761144638061523,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Vertex_VarfCap,12398,1,-0.03529943525791168,407.11016845703125,20.884227752685547,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Nasospinale_BazaNas,12298,1,0.032606881111860275,253.86700439453125,132.30226135253906,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Prosthion_BuzaSup,12276,1,0.018084634095430374,239.6085662841797,134.80577087402344,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Acanthion,12297,1,0.03304513916373253,252.44790649414062,131.8172149658203,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Piriform_Dr,10215,1,-12.44128131866455,253.4688720703125,126.56890106201172,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Piriform_St,4087,1,12.48716926574707,253.49366760253906,126.60614013671875,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Supraglabella,12335,1,-0.04191426932811737,336.6285095214844,122.29534912109375,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Midphiltrum,12274,1,0.0307864248752594,246.8212127685547,132.33328247070312,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Infradentale_BuzaInf,12284,1,0.0009568622335791588,226.43392944335938,133.8513946533203,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Supramentale,12266,1,0.010842911899089813,214.23043823242188,127.42619323730469,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Menton,12346,1,0.05756600573658943,185.31173706054688,111.04907989501953,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
FrontalEminence_Dr,7073,1,-30.450199127197266,341.4052734375,114.03353118896484,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
FrontalEminence_St,945,1,30.256202697753906,341.3553161621094,114.03514862060547,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Suborbitale_Dr,10880,1,-30.764074325561523,286.1521301269531,113.50288391113281,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Suborbitale_St,4752,1,30.838403701782227,286.12152099609375,113.4432601928711,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
InferiorMalar_Dr,7529,1,-30.209543228149414,269.2020568847656,118.80184173583984,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
InferiorMalar_St,1401,1,30.167097091674805,269.2992858886719,118.685302734375,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
LateralOrbit_Dr,7600,1,-50.81515884399414,278.25872802734375,107.36885833740234,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
LateralOrbit_St,1472,1,50.84077072143555,278.32025146484375,107.31387329101562,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Supraglenoid_Dr,11114,1,-74.15501403808594,286.4790344238281,45.36799240112305,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Supraglenoid_St,4986,1,74.04985046386719,286.469970703125,45.546607971191406,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
SupraM2_Dr,7491,1,-50.571895599365234,248.4051513671875,107.88761901855469,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
SupraM2_St,1363,1,50.54421615600586,248.6190643310547,107.93814849853516,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Midmasseter_Dr,11258,1,-66.3476333618164,244.0726318359375,72.11408996582031,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
Midmasseter_St,5130,1,66.30833435058594,244.22564697265625,72.2868423461914,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
SubM2_Dr,10025,1,-49.01163101196289,223.9919891357422,101.47994995117188,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
SubM2_St,3897,1,48.99692153930664,224.13558959960938,101.46255493164062,1,,,,,synthetic mean-model target; not FSTT data,,,1,synthetic model correspondence,
